afi_hash64;fkFechaCreacionPQR;descCanalRadicacion;descTema;descSexo;edadAfiliado;descCiudadUbicacion;descSegmentoAfiliado;EstadoPO;EstadoPV;EstadoCES;ultimoIBC;valorIngresos;IndicadorUsaClave;descCicloVida;TieneEmail;idAfiliadoTieneClave;descRegional;descOcupacion
0000e42d6869f310100946489a206e6a69e2d757;20201207;OFICINA VIRTUAL;PAGOS Y RETIROS;MASCULINO;35;ITAGUI;RENTAS MEDIAS;ACTIVO;NoTiene;ACTIVO;6622066;4500000.0;SI;JOVEN HOMBRE;SI;SI;REGIONAL ANTIOQUIA;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff6;20210211;OFICINA DE SERVICIO;ASESORÍA PENSIONAL;MASCULINO;47;BARRANQUILLA;NO SEGMENTADO;INACTIVO;NoTiene;INACTIVO;368900;NaN;NO;JOVEN HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff6;20210203;OFICINA DE SERVICIO;ASESORÍA PENSIONAL;MASCULINO;47;BARRANQUILLA;NO SEGMENTADO;INACTIVO;NoTiene;INACTIVO;368900;NaN;NO;JOVEN HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff7;43757;OFICINA DE SERVICIO;ASESORÍA PENSIONAL;MASCULINO;29;BARRANQUILLA;NO SEGMENTADO;INACTIVO;NoTiene;INACTIVO;1331926;NaN;NO;JOVEN HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff8;43985;OFICINA DE SERVICIO;ASESORÍA PENSIONAL;MASCULINO;34;BARRANQUILLA;NO SEGMENTADO;INACTIVO;NoTiene;INACTIVO;2804381;NaN;NO;JOVEN HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff9;43557;OFICINA DE SERVICIO;ASESORÍA PENSIONAL;MASCULINO;48;BARRANQUILLA;NO SEGMENTADO;INACTIVO;NoTiene;INACTIVO;1850015;NaN;NO;JOVEN HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff10;43579;OFICINA DE SERVICIO;ASESORÍA PENSIONAL;MASCULINO;43;BARRANQUILLA;NO SEGMENTADO;INACTIVO;NoTiene;INACTIVO;1312943;NaN;NO;JOVEN HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff11;43922;OFICINA DE SERVICIO;ASESORÍA PENSIONAL;MASCULINO;49;BARRANQUILLA;NO SEGMENTADO;INACTIVO;NoTiene;INACTIVO;2282024;NaN;NO;JOVEN HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff12;43653;OFICINA DE SERVICIO;ASESORÍA PENSIONAL;MASCULINO;35;BARRANQUILLA;NO SEGMENTADO;INACTIVO;NoTiene;INACTIVO;2828746;NaN;NO;JOVEN HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff13;43476;OFICINA DE SERVICIO;ASESORÍA PENSIONAL;MASCULINO;59;BARRANQUILLA;NO SEGMENTADO;INACTIVO;NoTiene;INACTIVO;2995360;NaN;NO;JOVEN HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff14;43895;OFICINA DE SERVICIO;ASESORÍA PENSIONAL;MASCULINO;41;BARRANQUILLA;NO SEGMENTADO;INACTIVO;NoTiene;INACTIVO;1107797;NaN;NO;JOVEN HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
00224e970922acf58fc7645a287fc10043c4dff15;43854;LINEA DE SERVICIO;ASESORÍA PENSIONAL;MASCULINO;23;BARRANQUILLA;NO SEGMENTADO;INACTIVO;NoTiene;INACTIVO;2788370;NaN;NO;JOVEN HOMBRE;SI;NO;REGIONAL CARIBE;EMPLEADO(A)
